,state,area_code,international_plan,voice_mail_plan,churn
1977,MN,415.0,no,no,yes
1978,TX,415.0,no,yes,no
1979,VA,510.0,no,no,no
1980,MA,408.0,no,no,no
1981,ID,408.0,no,no,no
1982,MA,408.0,no,no,no
1983,GA,415.0,no,yes,no
1984,RI,415.0,no,yes,no
1985,ID,510.0,no,yes,no
1986,SD,510.0,yes,yes,yes
1987,MA,510.0,no,no,no
1988,WY,415.0,no,yes,no
1989,VA,408.0,no,no,no
1990,OR,415.0,no,no,no
1991,VA,408.0,no,no,no
1992,ME,510.0,no,yes,no
1993,AL,408.0,no,yes,no
1994,GA,408.0,no,yes,no
1995,IA,510.0,no,no,no
1996,AZ,510.0,no,no,no
1997,FL,510.0,no,no,no
1998,MT,415.0,no,no,yes
1999,AL,415.0,no,no,yes
2000,DE,510.0,no,no,no
2001,MT,510.0,no,no,no
2002,KY,408.0,no,yes,no
2003,SC,510.0,no,no,no
2004,WA,415.0,no,no,no
2005,OR,510.0,no,no,no
2006,AK,408.0,no,no,no
2007,GA,415.0,no,no,yes
2008,MN,415.0,no,no,no
2009,IL,415.0,no,yes,no
2010,IN,408.0,no,yes,no
2011,SC,510.0,no,yes,no
2012,VA,415.0,no,no,no
2013,WI,415.0,no,yes,no
2014,VT,510.0,no,no,no
2015,AZ,415.0,no,yes,no
2016,FL,510.0,no,no,yes
2017,AK,510.0,no,no,no
2018,AR,415.0,yes,yes,no
2019,AR,408.0,no,no,no
2020,AK,415.0,no,no,no
2021,MS,408.0,yes,no,yes
2022,ME,415.0,no,no,no
2023,CA,408.0,yes,no,no
2024,NM,408.0,no,yes,no
2025,NE,408.0,yes,yes,no
2026,SC,408.0,no,yes,no
2027,CO,408.0,yes,no,yes
2028,DE,415.0,no,no,no
2029,OH,415.0,no,yes,no
2030,MS,408.0,no,no,no
2031,OK,408.0,no,no,no
2032,CO,415.0,no,no,yes
2033,NC,415.0,no,no,no
2034,MD,415.0,no,no,no
2035,KS,415.0,no,no,no
2036,MA,415.0,no,no,no
2037,NC,415.0,no,no,no
2038,NM,408.0,no,no,no
2039,CA,415.0,yes,no,yes
2040,NY,415.0,no,no,no
2041,AZ,415.0,no,no,no
2042,SD,415.0,no,yes,no
2043,DC,415.0,no,no,no
2044,ND,408.0,no,no,no
2045,MO,415.0,yes,no,yes
2046,KS,415.0,no,no,no
2047,SD,510.0,no,no,no
2048,OK,415.0,no,no,no
2049,OR,415.0,yes,no,no
2050,IN,415.0,yes,yes,no
2051,OH,408.0,no,no,no
2052,KS,415.0,no,no,no
2053,CT,415.0,no,no,no
2054,NH,510.0,no,no,no
2055,WI,415.0,no,no,no
2056,MS,510.0,no,no,no
2057,WV,415.0,no,no,no
2058,MA,415.0,no,no,no
2059,MD,415.0,no,no,no
2060,PA,510.0,no,no,no
2061,WI,510.0,no,no,yes
2062,TN,415.0,no,yes,no
2063,TX,408.0,no,no,no
2064,OR,415.0,no,no,yes
2065,IL,510.0,no,no,no
2066,DC,415.0,no,no,yes
2067,GA,415.0,no,yes,no
2068,ID,415.0,no,no,no
2069,UT,408.0,no,yes,no
2070,KY,510.0,no,no,no
2071,OH,415.0,no,no,no
2072,WI,415.0,yes,no,no
2073,IL,415.0,no,no,no
2074,DE,510.0,no,no,yes
2075,RI,510.0,yes,no,no
2076,TX,415.0,no,no,no
2077,OR,408.0,no,no,no
2078,NV,415.0,no,no,no
2079,NE,415.0,no,no,no
2080,MS,415.0,no,no,no
2081,OR,415.0,no,no,no
2082,DE,415.0,no,no,yes
2083,DE,510.0,yes,no,yes
2084,AZ,408.0,no,no,no
2085,SD,408.0,no,yes,no
2086,NV,415.0,no,no,no
2087,NM,415.0,no,yes,no
2088,MN,510.0,no,no,no
2089,NJ,415.0,no,no,no
2090,IN,415.0,no,yes,no
2091,DC,415.0,no,yes,no
2092,MA,510.0,yes,no,no
2093,ME,415.0,no,no,no
2094,NH,415.0,no,yes,no
2095,AZ,408.0,no,no,no
2096,OR,510.0,no,no,no
2097,KS,510.0,no,no,yes
2098,NE,415.0,no,no,no
2099,MI,510.0,no,no,no
2100,SC,415.0,no,no,no
2101,PA,408.0,no,yes,no
2102,MT,510.0,no,yes,no
2103,NM,415.0,no,no,no
2104,OH,510.0,no,no,yes
2105,WY,510.0,no,no,no
2106,MI,415.0,no,no,no
2107,AR,510.0,no,yes,no
2108,FL,408.0,no,no,no
2109,AR,510.0,no,yes,no
2110,MO,510.0,no,no,no
2111,WI,408.0,yes,no,no
2112,TX,510.0,no,no,no
2113,TX,510.0,no,no,no
2114,NM,510.0,no,no,no
2115,GA,415.0,no,no,no
2116,ID,510.0,no,yes,no
2117,AL,408.0,no,no,no
2118,KS,408.0,no,yes,no
2119,SD,510.0,no,no,no
2120,LA,415.0,no,yes,no
2121,OH,408.0,no,no,yes
2122,MA,415.0,no,no,yes
2123,AZ,415.0,no,no,no
2124,KY,408.0,no,no,no
2125,DC,415.0,no,yes,no
2126,WA,415.0,no,no,no
2127,UT,415.0,no,no,no
2128,RI,408.0,no,no,no
2129,OH,415.0,no,yes,no
2130,NV,408.0,no,no,no
2131,ND,415.0,no,yes,no
2132,NV,415.0,yes,no,yes
2133,FL,510.0,no,yes,yes
2134,MD,415.0,no,no,no
2135,AZ,415.0,no,yes,no
2136,AL,510.0,no,yes,no
2137,NE,415.0,no,no,no
2138,NV,408.0,no,no,no
2139,IL,408.0,no,no,no
2140,WV,510.0,no,yes,yes
2141,MI,415.0,no,yes,no
2142,AR,510.0,no,no,no
2143,UT,510.0,no,no,no
2144,GA,510.0,no,yes,no
2145,AZ,408.0,no,no,no
2146,ID,408.0,no,no,no
2147,HI,408.0,no,no,no
2148,NV,408.0,no,no,no
2149,MD,415.0,no,no,no
2150,GA,510.0,no,no,no
2151,GA,510.0,no,no,no
2152,UT,415.0,no,yes,no
2153,MA,510.0,yes,no,no
2154,IN,415.0,no,no,no
2155,VT,510.0,no,no,no
2156,IA,415.0,no,no,no
2157,IN,415.0,no,no,no
2158,AL,415.0,yes,no,yes
2159,ME,415.0,yes,no,yes
2160,RI,415.0,no,yes,no
2161,MD,408.0,no,no,no
2162,FL,415.0,yes,no,no
2163,CA,415.0,no,yes,no
2164,AL,415.0,no,no,no
2165,ME,408.0,yes,no,yes
2166,WV,415.0,no,no,no
2167,SD,415.0,no,yes,no
2168,FL,415.0,no,yes,no
2169,MI,415.0,yes,no,yes
2170,MI,415.0,yes,yes,no
2171,NM,510.0,no,no,no
2172,AK,415.0,no,no,no
2173,OH,415.0,no,yes,no
2174,MO,415.0,no,no,yes
2175,KS,408.0,no,yes,no
2176,MS,415.0,no,yes,yes
2177,VT,408.0,no,yes,no
2178,NE,415.0,no,no,no
2179,VA,408.0,no,no,no
2180,DE,415.0,no,yes,no
2181,AL,408.0,yes,yes,yes
2182,ID,510.0,no,yes,no
2183,MS,510.0,no,no,no
2184,OK,408.0,no,no,no
2185,NM,415.0,no,no,no
2186,WI,408.0,no,no,no
2187,WV,415.0,no,no,no
2188,SC,510.0,no,no,yes
2189,KY,408.0,no,yes,no
2190,MO,408.0,no,no,no
2191,IL,510.0,no,no,no
2192,OK,408.0,no,no,no
2193,MI,510.0,no,no,no
2194,NJ,415.0,no,yes,no
2195,ID,415.0,no,no,no
2196,DC,510.0,yes,no,no
2197,NY,415.0,no,yes,no
2198,AL,415.0,no,no,no
2199,OR,415.0,no,yes,no
2200,OK,415.0,no,yes,no
2201,LA,510.0,no,no,no
2202,NE,408.0,no,no,no
2203,TX,415.0,no,yes,no
2204,UT,415.0,no,yes,no
2205,OR,415.0,no,no,no
2206,NY,408.0,no,no,no
2207,AL,408.0,no,yes,no
2208,RI,415.0,no,yes,no
2209,MN,415.0,yes,yes,yes
2210,NC,415.0,no,no,no
2211,MD,510.0,no,yes,no
2212,RI,510.0,no,yes,no
2213,WI,510.0,yes,no,yes
2214,VT,510.0,yes,yes,yes
2215,CT,415.0,no,yes,no
2216,OK,408.0,no,yes,no
2217,AK,415.0,no,no,yes
2218,NY,415.0,no,no,no
2219,GA,510.0,no,no,yes
2220,UT,510.0,yes,no,no
2221,NM,415.0,no,no,no
2222,NE,415.0,no,yes,no
2223,NJ,408.0,no,no,no
2224,TX,408.0,no,yes,no
2225,MT,408.0,no,no,yes
2226,CO,415.0,no,no,no
2227,VT,415.0,no,no,no
2228,RI,408.0,no,yes,no
2229,WY,408.0,no,yes,no
2230,ID,415.0,no,no,no
2231,CT,415.0,no,yes,no
2232,ME,510.0,no,no,no
2233,AZ,510.0,no,yes,no
2234,MD,510.0,yes,no,no
2235,IN,510.0,no,no,no
2236,NC,408.0,yes,yes,yes
2237,DE,510.0,no,no,no
2238,MN,415.0,no,yes,no
2239,WI,415.0,yes,no,no
2240,FL,408.0,no,yes,no
2241,WV,510.0,no,no,yes
2242,SD,415.0,no,yes,no
2243,FL,415.0,no,no,no
2244,OR,408.0,no,no,no
2245,CO,408.0,no,yes,no
2246,CT,408.0,no,yes,no
2247,IN,415.0,no,no,yes
2248,PA,415.0,no,yes,no
2249,NM,415.0,no,no,no
2250,ME,408.0,no,no,no
2251,SD,510.0,no,no,yes
2252,AR,408.0,no,no,no
2253,TX,408.0,yes,no,no
2254,NH,415.0,no,no,no
2255,OK,408.0,no,no,yes
2256,WI,408.0,no,yes,no
2257,AL,408.0,no,no,no
2258,PA,408.0,no,no,no
2259,OK,510.0,no,no,no
2260,ME,510.0,no,yes,no
2261,WV,415.0,no,no,no
2262,HI,408.0,no,yes,no
2263,MN,510.0,no,no,no
2264,NY,408.0,no,no,no
2265,AZ,415.0,no,no,no
2266,OH,510.0,no,yes,no
2267,MI,510.0,no,no,no
2268,MA,415.0,yes,no,yes
2269,WV,510.0,no,no,no
2270,MI,415.0,no,no,no
2271,NM,415.0,no,no,no
2272,MO,415.0,no,no,yes
2273,RI,415.0,no,no,no
2274,NC,415.0,no,yes,no
2275,WY,415.0,no,no,no
2276,WY,415.0,no,no,no
2277,PA,510.0,no,no,no
2278,KY,415.0,no,no,no
2279,OR,510.0,no,no,no
2280,NV,415.0,yes,yes,yes
2281,DC,408.0,no,yes,no
2282,UT,510.0,no,yes,no
2283,WA,408.0,yes,yes,no
2284,FL,510.0,no,no,no
2285,VA,510.0,no,no,no
2286,KS,415.0,yes,no,yes
2287,KS,415.0,no,no,no
2288,DC,510.0,no,no,no
2289,ME,408.0,no,yes,no
2290,LA,415.0,no,no,no
2291,DC,415.0,no,no,no
2292,TX,510.0,no,no,no
2293,NJ,408.0,yes,yes,yes
2294,DE,510.0,no,no,no
2295,VT,415.0,no,no,no
2296,GA,415.0,no,no,yes
2297,TX,408.0,no,no,no
2298,MT,415.0,no,no,no
2299,ND,408.0,no,yes,no
2300,NJ,415.0,no,yes,no
2301,MO,408.0,no,no,no
2302,CO,510.0,no,yes,no
2303,KS,408.0,no,no,no
2304,NC,408.0,no,yes,no
2305,MT,415.0,no,yes,no
2306,DE,415.0,no,no,no
2307,ND,415.0,no,no,no
2308,VA,408.0,no,no,no
2309,IL,415.0,no,no,no
2310,OK,415.0,no,no,no
2311,CO,510.0,no,yes,no
2312,MT,415.0,no,yes,no
2313,WV,408.0,no,yes,no
2314,ME,415.0,no,no,no
2315,WI,415.0,no,yes,no
2316,MO,408.0,no,no,yes
2317,NY,415.0,no,no,no
2318,CT,408.0,no,no,no
2319,AR,415.0,no,yes,no
2320,WY,415.0,no,yes,no
2321,CA,510.0,no,yes,no
2322,CA,510.0,no,no,yes
2323,MN,415.0,no,no,no
2324,AK,415.0,no,no,no
2325,VA,415.0,no,no,no
2326,CO,415.0,no,no,no
2327,MT,408.0,no,no,yes
2328,SD,408.0,no,yes,no
2329,NE,415.0,no,no,no
2330,VT,415.0,no,no,no
2331,ND,408.0,no,no,no
2332,GA,415.0,no,yes,no
2333,OR,415.0,no,no,no
2334,MT,510.0,no,no,no
2335,WY,415.0,no,no,no
2336,GA,415.0,no,yes,no
2337,WV,408.0,no,yes,no
2338,CT,415.0,no,yes,no
2339,IL,408.0,no,no,no
2340,CO,408.0,no,no,no
2341,DE,415.0,no,no,no
2342,LA,415.0,no,no,no
2343,MA,408.0,no,no,no
2344,IN,408.0,no,no,no
2345,NY,510.0,no,no,no
2346,TX,415.0,yes,no,yes
2347,KS,510.0,no,no,no
2348,WV,415.0,no,no,no
2349,NE,415.0,no,yes,no
2350,ND,408.0,no,no,no
2351,AK,408.0,no,no,no
2352,CO,415.0,no,yes,no
2353,ME,415.0,no,no,no
2354,SC,510.0,no,no,no
2355,MN,510.0,no,yes,no
2356,CO,415.0,no,no,no
2357,KS,415.0,no,no,no
2358,MS,510.0,no,no,no
2359,NE,408.0,no,no,no
2360,NJ,510.0,no,yes,no
2361,WI,510.0,no,no,no
2362,MT,415.0,no,no,no
2363,AR,415.0,no,no,no
2364,WA,408.0,no,no,no
2365,NH,415.0,no,no,no
2366,IA,415.0,no,no,no
2367,WV,415.0,no,no,no
2368,RI,415.0,no,no,no
2369,KS,415.0,no,no,no
2370,MT,510.0,no,yes,no
2371,MO,510.0,no,no,no
2372,HI,415.0,no,no,no
2373,CO,415.0,no,no,no
2374,CT,510.0,no,yes,no
2375,ID,415.0,yes,yes,no
2376,DC,510.0,no,no,no
2377,TN,510.0,no,no,no
2378,WY,510.0,no,no,no
2379,MO,415.0,no,no,no
2380,VA,415.0,no,no,no
2381,SD,415.0,no,yes,no
2382,WV,510.0,yes,no,yes
2383,GA,408.0,yes,yes,no
2384,AZ,415.0,no,no,no
2385,AK,408.0,no,no,no
2386,AK,510.0,no,no,no
2387,CT,415.0,no,yes,no
2388,UT,510.0,no,yes,yes
2389,KY,415.0,no,no,no
2390,MI,510.0,no,no,no
2391,OR,510.0,no,yes,no
2392,TN,510.0,no,no,no
2393,WV,408.0,no,no,no
2394,NJ,415.0,no,no,no
2395,MS,510.0,no,yes,no
2396,ME,415.0,no,yes,no
2397,WY,510.0,no,no,yes
2398,WY,415.0,no,no,no
2399,IN,510.0,no,no,no
2400,NM,408.0,no,yes,no
2401,NJ,415.0,yes,yes,no
2402,DC,415.0,yes,no,no
2403,UT,415.0,no,no,yes
2404,KY,415.0,yes,no,yes
2405,KS,510.0,no,no,no
2406,MI,510.0,no,no,no
2407,UT,510.0,no,yes,no
2408,NE,415.0,no,no,no
2409,FL,415.0,no,yes,no
2410,LA,408.0,no,no,no
2411,MT,415.0,no,no,no
2412,WA,415.0,no,yes,no
2413,MI,415.0,no,no,no
2414,KY,510.0,no,no,no
2415,LA,408.0,no,no,no
2416,NM,510.0,yes,no,no
2417,AL,415.0,no,yes,no
2418,MO,415.0,no,yes,no
2419,CO,510.0,no,yes,no
2420,TX,415.0,no,no,no
2421,NY,415.0,no,no,no
2422,OR,415.0,no,no,no
2423,WY,415.0,no,no,no
2424,UT,415.0,no,no,no
2425,LA,510.0,no,yes,no
2426,NV,415.0,no,yes,no
2427,NC,510.0,no,no,no
2428,NC,408.0,no,no,no
2429,WY,415.0,yes,no,no
2430,TN,415.0,no,yes,no
2431,FL,415.0,no,yes,no
2432,CA,415.0,no,no,no
2433,PA,415.0,yes,no,yes
2434,WV,415.0,no,yes,no
2435,NJ,415.0,no,no,no
2436,MT,415.0,no,no,no
2437,MN,415.0,no,no,no
2438,WI,415.0,yes,yes,yes
2439,ID,510.0,no,no,no
2440,MA,408.0,yes,no,yes
2441,OR,415.0,no,no,no
2442,MT,510.0,no,no,no
2443,AL,415.0,no,yes,no
2444,ND,510.0,yes,yes,no
2445,LA,415.0,no,yes,no
2446,ND,408.0,yes,no,no
2447,MS,510.0,yes,no,no
2448,WV,415.0,yes,no,no
2449,WI,510.0,no,yes,no
2450,KS,408.0,yes,no,no
2451,MO,415.0,no,yes,no
2452,PA,415.0,no,no,no
2453,SD,408.0,no,no,no
2454,NJ,408.0,no,no,yes
2455,AL,415.0,no,no,no
2456,ME,510.0,no,no,no
2457,AZ,415.0,yes,yes,no
2458,VT,415.0,no,no,no
2459,NV,510.0,yes,yes,yes
2460,WI,408.0,no,no,no
2461,HI,408.0,no,no,no
2462,DE,415.0,no,no,no
2463,AZ,415.0,no,yes,no
2464,VA,408.0,yes,no,yes
2465,GA,415.0,no,yes,no
2466,AZ,415.0,no,yes,no
2467,MN,415.0,no,yes,no
2468,ME,510.0,no,no,no
2469,FL,510.0,no,no,no
2470,WA,408.0,no,no,no
2471,MT,415.0,no,no,no
2472,AL,408.0,no,no,no
2473,WV,408.0,no,no,no
2474,GA,415.0,no,yes,no
2475,OH,510.0,yes,yes,no
2476,DE,510.0,no,yes,no
2477,NE,510.0,no,no,no
2478,FL,510.0,no,no,no
2479,AK,510.0,no,no,no
2480,WI,510.0,no,no,no
2481,WA,510.0,no,yes,no
2482,KY,415.0,no,no,yes
2483,OH,510.0,no,no,no
2484,UT,510.0,no,no,no
2485,NM,408.0,no,no,no
2486,MN,415.0,no,no,no
2487,WV,510.0,no,yes,no
2488,MN,415.0,no,no,no
2489,AL,415.0,no,no,no
2490,PA,510.0,no,yes,no
2491,DE,510.0,no,no,no
2492,MO,415.0,no,no,no
2493,IL,510.0,yes,no,no
2494,FL,415.0,no,no,no
2495,HI,415.0,no,no,no
2496,ME,510.0,no,no,no
2497,CO,408.0,yes,no,yes
2498,NH,415.0,no,no,no
2499,SC,408.0,no,no,yes
2500,IN,510.0,no,no,no
2501,FL,415.0,no,no,no
2502,GA,510.0,no,no,no
2503,IL,415.0,no,yes,no
2504,NC,510.0,yes,yes,no
2505,VT,510.0,no,yes,no
2506,DC,415.0,no,yes,no
2507,VT,408.0,no,no,no
2508,NV,415.0,no,no,no
2509,OR,415.0,yes,no,no
2510,AL,408.0,no,no,no
2511,ND,408.0,no,yes,no
2512,FL,415.0,no,yes,no
2513,NE,415.0,no,no,yes
2514,ND,415.0,no,yes,no
2515,ME,408.0,no,no,no
2516,IL,415.0,no,no,no
2517,WA,408.0,no,no,no
2518,MA,408.0,yes,no,yes
2519,KS,510.0,no,no,no
2520,RI,415.0,no,no,no
2521,MO,415.0,no,yes,no
2522,IA,510.0,no,no,no
2523,WY,408.0,no,no,no
2524,NV,415.0,no,no,no
2525,WI,415.0,no,yes,no
2526,AL,408.0,no,no,yes
2527,HI,415.0,no,no,no
2528,MO,415.0,no,no,no
2529,CA,510.0,no,yes,no
2530,MO,408.0,no,no,no
2531,CT,510.0,no,no,no
2532,MD,415.0,no,no,no
2533,OH,415.0,no,yes,no
2534,NV,510.0,no,no,no
2535,MD,408.0,no,no,no
2536,NE,510.0,yes,no,no
2537,OH,408.0,no,no,no
2538,MA,510.0,no,no,yes
2539,OK,510.0,no,yes,no
2540,MA,408.0,no,no,no
2541,WA,415.0,no,no,no
2542,HI,415.0,no,yes,no
2543,CO,415.0,no,no,no
2544,FL,415.0,yes,no,no
2545,WI,415.0,no,no,no
2546,ID,510.0,no,yes,no
2547,WY,408.0,no,no,no
2548,GA,510.0,no,no,no
2549,FL,415.0,no,no,no
2550,WY,408.0,no,no,no
2551,DE,415.0,no,no,no
2552,ME,408.0,no,yes,no
2553,DC,510.0,no,yes,no
2554,IA,408.0,no,no,no
2555,CO,415.0,no,no,no
2556,MN,415.0,no,no,no
2557,VT,415.0,no,no,no
2558,AZ,510.0,no,no,no
2559,LA,415.0,no,yes,yes
2560,MO,415.0,yes,no,no
2561,ME,510.0,no,no,yes
2562,MD,415.0,no,no,no
2563,VT,415.0,no,no,no
2564,DC,408.0,no,yes,no
2565,WY,415.0,no,no,no
2566,VA,415.0,no,yes,no
2567,VA,510.0,yes,yes,no
2568,CT,510.0,no,no,yes
2569,HI,510.0,no,no,no
2570,WI,415.0,no,no,no
2571,MD,415.0,no,no,yes
2572,WV,415.0,no,no,yes
2573,VT,408.0,no,no,no
2574,UT,415.0,no,yes,no
2575,CO,408.0,no,no,no
2576,NC,415.0,no,yes,no
2577,NJ,415.0,no,yes,no
2578,AR,415.0,no,no,yes
2579,IA,510.0,no,no,no
2580,GA,408.0,no,yes,no
2581,MO,510.0,no,no,yes
2582,MO,408.0,no,no,no
2583,WY,415.0,no,no,no
2584,HI,415.0,no,no,no
2585,PA,408.0,no,no,no
2586,TX,415.0,no,no,no
2587,VA,510.0,no,no,no
2588,RI,415.0,no,no,no
2589,WI,415.0,no,no,no
2590,MS,415.0,no,no,no
2591,KY,408.0,no,no,no
2592,NC,415.0,no,no,no
2593,NV,415.0,no,no,no
2594,UT,415.0,no,yes,no
2595,ME,510.0,no,yes,no
2596,HI,415.0,no,no,no
2597,OH,415.0,no,no,no
2598,WV,510.0,no,no,no
2599,OK,415.0,no,no,no
2600,KY,510.0,yes,no,yes
2601,AL,408.0,no,no,no
2602,MD,408.0,no,no,no
2603,NE,510.0,no,yes,no
2604,DC,415.0,no,no,no
2605,TX,415.0,no,no,no
2606,OH,408.0,no,no,no
2607,DE,415.0,no,no,no
2608,IA,510.0,no,no,no
2609,VT,415.0,no,no,no
2610,OR,510.0,no,no,no
2611,NV,415.0,no,yes,yes
2612,NC,415.0,no,no,no
2613,NJ,408.0,no,no,yes
2614,MN,415.0,no,yes,no
2615,ID,408.0,no,no,no
2616,AL,408.0,no,no,no
2617,AK,415.0,no,no,no
2618,VT,415.0,no,no,no
2619,PA,415.0,no,no,no
2620,AK,415.0,no,yes,no
2621,CA,510.0,no,no,no
2622,MS,415.0,no,yes,no
2623,AR,415.0,no,yes,no
2624,NV,415.0,yes,no,no
2625,AL,510.0,no,yes,no
2626,GA,408.0,no,no,no
2627,AR,415.0,no,no,no
2628,MA,408.0,no,no,no
2629,NJ,415.0,no,no,no
2630,MO,415.0,no,yes,no
2631,NY,408.0,no,yes,no
2632,AZ,415.0,no,no,no
2633,NJ,510.0,no,yes,yes
2634,WV,408.0,no,no,no
2635,NM,408.0,no,yes,yes
2636,SC,415.0,no,no,no
2637,VT,415.0,no,no,no
2638,TN,415.0,no,no,no
2639,LA,415.0,no,no,no
2640,OH,408.0,no,no,no
2641,OR,510.0,no,yes,no
2642,DE,510.0,no,no,yes
2643,KY,415.0,no,no,no
2644,GA,408.0,no,yes,yes
2645,VT,415.0,no,no,yes
2646,OR,415.0,no,no,no
2647,TX,510.0,no,no,no
2648,MO,408.0,no,yes,no
2649,ND,415.0,no,yes,no
2650,MN,510.0,no,no,no
2651,NV,415.0,no,no,no
2652,NY,415.0,yes,no,yes
2653,FL,415.0,no,yes,no
2654,KS,415.0,yes,yes,yes
2655,NV,510.0,no,no,no
2656,NV,408.0,no,no,no
2657,SC,415.0,no,yes,no
2658,MI,415.0,no,yes,no
2659,MI,510.0,no,yes,no
2660,TN,510.0,no,no,no
2661,NY,510.0,no,yes,no
2662,NV,510.0,no,no,no
2663,IL,510.0,no,no,no
2664,MS,415.0,no,no,no
2665,ND,510.0,no,no,no
2666,NC,415.0,no,no,no
2667,MI,408.0,no,no,yes
2668,TN,415.0,no,no,no
2669,VT,408.0,no,yes,no
2670,OK,510.0,no,yes,no
2671,DE,415.0,no,yes,no
2672,ND,510.0,yes,no,no
2673,OR,415.0,no,no,no
2674,NY,408.0,no,no,no
2675,MO,415.0,no,yes,no
2676,FL,415.0,no,no,no
2677,ND,510.0,no,no,no
2678,NY,415.0,no,no,no
2679,ND,415.0,no,no,no
2680,NY,415.0,no,no,no
2681,OH,415.0,no,no,no
2682,AL,415.0,no,no,no
2683,SC,415.0,no,no,no
2684,GA,415.0,no,no,no
2685,WY,415.0,no,no,yes
2686,WV,415.0,no,no,no
2687,HI,415.0,no,yes,no
2688,WV,408.0,no,no,no
2689,LA,510.0,no,no,no
2690,AR,510.0,no,no,no
2691,AK,510.0,yes,no,no
2692,DC,415.0,no,yes,no
2693,AL,415.0,no,yes,no
2694,UT,510.0,yes,no,yes
2695,KS,415.0,no,no,no
2696,MN,510.0,no,no,no
2697,VA,415.0,no,yes,yes
2698,UT,415.0,no,no,no
2699,IN,510.0,no,no,no
2700,CT,408.0,no,no,no
2701,DE,408.0,no,no,no
2702,VT,510.0,no,no,no
2703,MO,408.0,no,yes,no
2704,RI,510.0,yes,no,no
2705,CA,415.0,no,no,yes
2706,RI,415.0,no,no,no
2707,CT,510.0,no,no,no
2708,IN,510.0,no,yes,no
2709,FL,510.0,yes,yes,no
2710,KS,415.0,no,no,no
2711,NY,510.0,yes,no,no
2712,TX,408.0,no,no,no
2713,RI,510.0,no,no,no
2714,NV,415.0,no,no,no
2715,UT,510.0,no,no,no
2716,OK,510.0,no,no,no
2717,MN,510.0,no,yes,no
2718,NC,415.0,no,no,no
2719,OR,415.0,yes,no,no
2720,NH,408.0,no,no,no
2721,AK,408.0,no,no,no
2722,OR,415.0,no,no,no
2723,KS,408.0,no,no,no
2724,WV,415.0,no,yes,no
2725,GA,510.0,no,no,no
2726,NM,415.0,no,no,no
2727,OH,510.0,no,no,no
2728,ND,415.0,no,yes,no
2729,RI,415.0,no,yes,no
2730,HI,510.0,no,no,no
2731,WY,415.0,yes,yes,no
2732,NY,415.0,no,yes,no
2733,KS,510.0,no,yes,no
2734,LA,408.0,no,no,no
2735,PA,415.0,no,no,no
2736,NV,510.0,no,no,no
2737,MN,415.0,no,no,no
2738,PA,408.0,no,no,no
2739,MO,408.0,no,yes,no
2740,NY,510.0,no,no,no
2741,ME,415.0,no,no,no
2742,NH,408.0,no,no,no
2743,WY,415.0,no,yes,no
2745,ME,408.0,no,no,yes
2746,MN,408.0,no,no,no
2747,OH,415.0,no,no,no
2748,NC,408.0,no,yes,no
2749,SD,415.0,no,no,no
2750,UT,510.0,yes,no,no
2751,KY,415.0,no,no,no
2752,MT,408.0,no,no,no
2753,NJ,408.0,no,no,no
2754,FL,408.0,no,no,no
2755,IN,510.0,no,yes,no
2756,DE,510.0,no,no,no
2757,AL,510.0,no,no,no
2758,ME,510.0,no,no,no
2759,SD,408.0,no,no,no
2760,VA,408.0,no,no,no
2761,AK,415.0,no,no,no
2762,ID,510.0,no,no,no
2763,RI,415.0,no,no,no
2764,KY,415.0,no,yes,no
2765,ND,510.0,no,no,no
2766,HI,415.0,no,no,no
2767,WI,415.0,no,yes,no
2768,WV,510.0,no,no,no
2769,NJ,510.0,no,no,yes
2770,KS,415.0,no,no,no
2771,AL,415.0,no,no,no
2772,NJ,510.0,no,yes,yes
2773,NC,510.0,no,no,no
2774,DE,415.0,no,yes,no
2775,WY,510.0,no,no,no
2776,ID,415.0,no,no,no
2777,NY,415.0,no,no,no
2778,MO,510.0,no,no,no
2779,ID,408.0,no,no,no
2780,IA,415.0,no,no,no
2781,TN,408.0,no,yes,no
2782,OH,408.0,no,no,yes
2783,IL,415.0,no,no,no
2784,FL,408.0,yes,no,no
2785,MA,415.0,no,no,no
2786,OK,415.0,no,no,no
2787,KY,415.0,no,no,no
2788,MI,415.0,no,no,yes
2789,NE,415.0,no,no,yes
2790,VA,408.0,no,yes,no
2791,NY,415.0,no,no,no
2792,MT,408.0,no,no,no
2793,VT,408.0,no,yes,no
2794,KS,415.0,no,yes,no
2795,VA,415.0,yes,yes,no
2796,AL,415.0,no,no,no
2797,PA,415.0,no,no,no
2798,AL,408.0,no,yes,no
2799,WV,415.0,no,yes,no
2800,NV,408.0,no,no,yes
2801,TN,408.0,no,no,no
2802,ID,415.0,no,yes,no
2803,WY,415.0,yes,yes,yes
2804,TX,510.0,no,yes,no
2805,MA,408.0,no,no,no
2806,IL,510.0,no,no,no
2807,LA,415.0,no,yes,no
2808,CO,415.0,no,no,no
2809,UT,415.0,no,no,yes
2810,MI,415.0,no,yes,no
2811,NH,408.0,no,no,no
2812,ID,415.0,no,no,no
2813,WA,415.0,no,no,no
2814,MN,408.0,no,yes,no
2815,NY,415.0,no,no,no
2816,MD,415.0,yes,no,no
2817,GA,415.0,no,no,yes
2818,HI,408.0,no,yes,no
2819,AL,408.0,no,no,no
2820,CT,408.0,no,no,no
2821,CO,408.0,no,yes,no
