state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,customer_id
NH,75,510.0,no,no,0.0,226.1,105.0,38.44,201.5,,17.13,246.2,98.0,11.08,10.3,5.0,2.78,1.0,no,59624346.0
LA,172,408.0,no,no,0.0,212.0,121.0,36.04,31.2,115.0,2.65,293.3,78.0,13.2,12.6,10.0,3.4,3.0,no,22603062.0
AZ,12,408.0,no,no,0.0,249.6,118.0,42.43,252.4,119.0,,280.2,90.0,12.61,11.8,,3.19,1.0,yes,57995342.0
OK,57,408.0,no,yes,25.0,,94.0,30.06,195.0,75.0,16.58,213.5,116.0,9.61,8.3,4.0,2.24,0.0,no,62449814.0
GA,72,415.0,no,yes,37.0,220.0,80.0,37.4,217.3,102.0,18.47,152.8,71.0,6.88,14.7,,3.97,3.0,no,29724127.0
AK,36,408.0,no,yes,,146.3,128.0,24.87,162.5,,13.81,129.3,109.0,5.82,14.5,6.0,,0.0,no,10501914.0
MA,78,415.0,no,no,0.0,130.8,64.0,22.24,223.7,116.0,19.01,227.8,108.0,10.25,10.0,5.0,2.7,1.0,no,10395960.0
AK,136,415.0,yes,yes,33.0,203.9,106.0,34.66,187.6,99.0,15.95,101.7,107.0,4.58,10.5,6.0,2.84,3.0,no,12363248.0
NJ,149,408.0,no,no,,140.4,94.0,23.87,271.8,,23.1,188.3,108.0,8.47,11.1,9.0,3.0,1.0,no,32350894.0
GA,98,408.0,no,no,0.0,126.3,102.0,21.47,166.8,85.0,14.18,187.8,135.0,8.45,,2.0,2.54,3.0,no,302075155.0
MD,135,408.0,yes,yes,41.0,173.1,85.0,29.43,203.9,107.0,,122.2,,5.5,14.6,15.0,3.94,0.0,yes,34080739.0
AR,34,510.0,no,no,0.0,124.8,82.0,21.22,282.2,98.0,,311.5,78.0,14.02,10.0,4.0,2.7,2.0,no,37619061.0
ID,160,415.0,no,no,0.0,85.8,77.0,14.59,165.3,110.0,14.05,178.5,92.0,8.03,9.2,4.0,2.48,3.0,no,15588221.0
WI,64,510.0,no,no,0.0,154.0,67.0,26.18,225.8,118.0,19.19,265.3,86.0,11.94,,3.0,0.95,1.0,no,25026824.0
OR,59,408.0,no,yes,28.0,120.9,97.0,,213.0,92.0,18.11,163.1,116.0,7.34,8.5,5.0,2.3,2.0,no,24889081.0
MI,65,415.0,no,no,0.0,211.3,120.0,35.92,162.6,122.0,13.82,134.7,118.0,6.06,13.2,5.0,3.56,3.0,no,51899581.0
DE,142,408.0,no,no,0.0,187.0,133.0,31.79,134.6,74.0,11.44,242.2,127.0,10.9,7.4,5.0,2.0,2.0,no,38235073.0
ID,119,415.0,no,no,0.0,159.1,114.0,27.05,231.3,117.0,19.66,143.2,91.0,,8.8,3.0,2.38,5.0,yes,14441737.0
WY,97,415.0,no,yes,,133.2,135.0,22.64,217.2,58.0,18.46,70.6,79.0,3.18,11.0,3.0,2.97,1.0,no,22822597.0
IA,52,408.0,no,no,0.0,191.9,108.0,32.62,269.8,96.0,22.93,236.8,,10.66,7.8,5.0,2.11,3.0,no,37678463.0
IN,60,408.0,no,no,0.0,220.6,57.0,37.5,211.1,115.0,,,129.0,11.21,6.8,3.0,1.84,1.0,no,28663987.0
VA,10,408.0,no,no,0.0,186.1,112.0,31.64,190.2,66.0,16.17,282.8,57.0,12.73,11.4,6.0,3.08,2.0,no,25534546.0
UT,96,415.0,no,no,0.0,160.2,117.0,27.23,267.5,67.0,22.74,228.5,68.0,10.28,9.3,5.0,2.51,2.0,no,38318002.0
WY,87,415.0,no,no,0.0,151.0,83.0,25.67,,116.0,18.67,203.9,127.0,9.18,9.7,3.0,2.62,5.0,yes,55371355.0
IN,81,408.0,no,no,,175.5,67.0,29.84,,85.0,21.19,270.2,98.0,12.16,10.2,3.0,2.75,1.0,no,56235245.0
CO,141,415.0,no,no,0.0,,98.0,21.57,180.0,62.0,15.3,140.8,128.0,6.34,,2.0,2.16,1.0,no,24831323.0
CO,121,408.0,no,yes,,198.4,129.0,33.73,75.3,77.0,,181.2,77.0,8.15,5.8,,1.57,3.0,yes,57362857.0
WI,68,415.0,no,no,0.0,148.8,70.0,25.3,246.5,164.0,20.95,129.8,103.0,5.84,12.1,,3.27,3.0,no,29738309.0
OK,125,408.0,no,no,0.0,229.3,103.0,38.98,177.4,,15.08,189.3,,8.52,,,3.24,1.0,no,23999923.0
ID,174,408.0,no,no,0.0,192.1,97.0,32.66,169.9,94.0,,166.6,54.0,7.5,11.4,4.0,3.08,1.0,no,25113515.0
CA,116,415.0,no,yes,34.0,268.6,83.0,,178.2,142.0,15.15,166.3,106.0,7.48,11.6,3.0,3.13,2.0,no,38504569.0
MN,74,510.0,no,yes,33.0,193.7,91.0,32.93,,96.0,,138.0,92.0,6.21,14.6,3.0,3.94,2.0,no,55263214.0
SD,149,408.0,no,yes,28.0,180.7,92.0,,187.8,64.0,15.96,265.5,53.0,11.95,12.6,3.0,3.4,3.0,no,59566992.0
NC,38,408.0,no,no,0.0,131.2,98.0,,,97.0,,,106.0,7.15,8.2,6.0,2.21,2.0,no,50261023.0
WA,40,415.0,no,yes,41.0,148.1,,25.18,169.5,88.0,14.41,214.1,102.0,9.63,6.2,5.0,1.67,2.0,no,53663530.0
WY,43,415.0,yes,no,0.0,,105.0,42.76,212.8,104.0,18.09,157.8,67.0,7.1,,4.0,2.51,0.0,no,25270570.0
MN,113,408.0,yes,no,0.0,125.2,93.0,21.28,206.4,119.0,17.54,129.3,139.0,5.82,8.3,8.0,2.24,0.0,no,23986698.0
UT,126,408.0,no,no,0.0,211.6,,35.97,216.9,80.0,18.44,153.5,60.0,6.91,7.8,1.0,2.11,1.0,no,58813072.0
TX,150,510.0,no,no,0.0,178.9,101.0,30.41,169.1,110.0,14.37,148.6,100.0,6.69,13.8,3.0,3.73,4.0,yes,25327677.0
NJ,138,408.0,no,no,0.0,241.8,93.0,41.11,170.5,83.0,14.49,295.3,104.0,13.29,11.8,7.0,3.19,3.0,no,31781768.0
MN,162,510.0,no,yes,46.0,224.9,97.0,38.23,188.2,84.0,16.0,254.6,61.0,11.46,12.1,2.0,3.27,0.0,no,33640780.0
NM,147,510.0,no,no,0.0,248.6,83.0,42.26,148.9,85.0,12.66,172.5,109.0,7.76,8.0,4.0,2.16,3.0,no,22150619.0
NV,90,415.0,no,no,0.0,203.4,146.0,34.58,226.7,117.0,19.27,152.4,105.0,6.86,7.3,4.0,,1.0,no,9173709.0
HI,85,415.0,no,no,0.0,,109.0,40.09,157.2,94.0,,188.2,99.0,8.47,12.0,3.0,3.24,0.0,no,27148675.0
MN,50,415.0,no,no,0.0,,90.0,26.71,223.3,72.0,18.98,181.4,111.0,8.16,6.1,2.0,1.65,1.0,no,24925588.0
DC,82,415.0,no,no,0.0,300.3,109.0,51.05,181.0,100.0,15.39,270.1,,12.15,11.7,4.0,3.16,0.0,yes,35840008.0
NY,144,408.0,no,no,0.0,61.6,117.0,10.47,77.1,85.0,,173.0,99.0,7.79,8.2,,2.21,4.0,yes,57947764.0
MN,46,415.0,no,no,0.0,,72.0,36.4,164.4,104.0,13.97,177.5,113.0,7.99,,3.0,2.21,2.0,no,54127030.0
MD,70,408.0,no,no,0.0,170.2,98.0,28.93,,102.0,13.19,228.6,76.0,10.29,15.0,2.0,4.05,1.0,no,7273832.0
WV,144,415.0,no,no,0.0,201.1,99.0,34.19,303.5,74.0,,224.0,119.0,10.08,13.2,2.0,3.56,1.0,no,54603568.0
OR,116,415.0,yes,no,0.0,215.4,104.0,,204.8,79.0,17.41,278.5,109.0,12.53,12.6,5.0,3.4,3.0,no,23621600.0
CO,55,408.0,no,yes,25.0,165.6,,28.15,136.1,95.0,11.57,175.7,90.0,7.91,11.0,2.0,2.97,3.0,no,15153414.0
GA,70,415.0,no,yes,24.0,249.5,101.0,42.42,259.7,98.0,,222.7,68.0,10.02,9.8,4.0,2.65,1.0,no,53971289.0
TX,106,510.0,no,no,,210.6,96.0,35.8,,85.0,21.18,191.4,88.0,8.61,12.4,1.0,3.35,2.0,yes,23097801.0
VT,128,510.0,no,yes,29.0,179.3,104.0,30.48,,86.0,19.2,323.0,78.0,14.54,8.6,7.0,2.32,0.0,no,22074751.0
IN,94,408.0,no,no,0.0,157.9,105.0,26.84,155.0,101.0,13.18,189.6,84.0,8.53,8.0,5.0,2.16,4.0,yes,59604033.0
WV,111,510.0,no,no,0.0,,118.0,36.43,208.5,76.0,17.72,182.4,98.0,8.21,12.0,2.0,3.24,1.0,no,57718553.0
KY,74,415.0,no,yes,35.0,154.1,104.0,26.2,123.4,,10.49,202.1,57.0,9.09,10.9,9.0,2.94,2.0,no,12727905.0
NJ,128,415.0,no,no,0.0,237.9,125.0,40.44,247.6,93.0,21.05,208.9,68.0,9.4,13.9,4.0,3.75,1.0,yes,52254646.0
DC,82,510.0,no,no,0.0,143.9,61.0,,194.9,105.0,16.57,109.6,94.0,4.93,11.1,2.0,3.0,1.0,no,1349075.0
LA,155,415.0,no,no,0.0,,100.0,34.58,190.9,104.0,16.23,196.0,,8.82,8.9,4.0,2.4,0.0,yes,50884014.0
AR,80,415.0,no,no,0.0,124.3,100.0,21.13,173.0,107.0,14.71,253.2,62.0,11.39,7.9,9.0,2.13,1.0,no,40471906.0
ME,78,415.0,no,no,0.0,252.9,93.0,,178.4,112.0,,263.9,105.0,11.88,9.5,7.0,2.57,3.0,no,24046831.0
AZ,90,415.0,no,no,0.0,179.1,71.0,30.45,190.6,81.0,16.2,127.7,91.0,5.75,10.6,7.0,2.86,3.0,no,33761040.0
AK,104,408.0,no,no,0.0,278.4,106.0,,81.0,113.0,6.89,163.2,137.0,7.34,,5.0,2.65,1.0,no,41308784.0
MT,73,415.0,no,no,,160.1,110.0,27.22,213.3,72.0,18.13,174.1,72.0,7.83,,4.0,3.51,0.0,no,54262290.0
AZ,99,415.0,no,no,0.0,198.2,87.0,33.69,207.3,76.0,17.62,190.9,113.0,,8.7,3.0,2.35,4.0,no,51566222.0
MS,120,408.0,no,no,0.0,212.1,131.0,36.06,209.4,104.0,17.8,167.2,96.0,7.52,5.3,5.0,1.43,1.0,yes,57720997.0
ID,77,415.0,no,no,0.0,251.8,72.0,,205.7,126.0,17.48,275.2,109.0,12.38,9.8,7.0,2.65,2.0,yes,25421769.0
IA,98,510.0,no,yes,21.0,161.2,,27.4,252.2,83.0,21.44,160.2,92.0,7.21,4.4,8.0,1.19,4.0,no,32875080.0
MA,108,415.0,no,no,0.0,178.3,137.0,30.31,189.0,76.0,16.07,129.1,102.0,,14.6,5.0,3.94,0.0,no,27035112.0
VT,135,415.0,no,no,0.0,,82.0,25.79,119.0,,10.12,180.0,100.0,8.1,10.5,6.0,2.84,0.0,no,24271405.0
KY,95,408.0,no,no,0.0,135.0,99.0,22.95,183.6,106.0,,245.3,102.0,11.04,12.5,,3.38,1.0,no,33419813.0
IN,122,408.0,no,no,0.0,170.5,94.0,28.99,173.7,,14.76,248.6,75.0,11.19,11.3,2.0,3.05,1.0,no,56674989.0
AZ,95,408.0,no,no,0.0,238.1,65.0,40.48,187.2,98.0,15.91,190.0,115.0,8.55,11.8,4.0,3.19,4.0,no,28533941.0
MI,36,510.0,no,yes,,281.4,102.0,47.84,202.2,76.0,17.19,187.2,113.0,8.42,9.0,6.0,2.43,2.0,no,7111305.0
NM,93,510.0,no,yes,21.0,117.9,131.0,20.04,164.5,115.0,13.98,217.0,86.0,9.76,9.8,3.0,2.65,1.0,no,22792907.0
CO,141,415.0,no,yes,32.0,,91.0,25.26,131.1,97.0,11.14,219.4,142.0,9.87,10.1,1.0,2.73,1.0,no,51893436.0
UT,157,408.0,no,no,0.0,229.8,90.0,39.07,147.9,121.0,12.57,241.4,108.0,10.86,,7.0,2.59,3.0,no,25302696.0
MI,120,408.0,no,no,0.0,,100.0,28.05,317.2,83.0,26.96,119.2,86.0,5.36,8.3,8.0,,1.0,no,33604125.0
MA,103,415.0,no,no,0.0,185.0,117.0,31.45,223.3,94.0,18.98,222.8,91.0,10.03,12.6,2.0,3.4,2.0,no,25742685.0
AL,98,408.0,no,no,0.0,161.0,117.0,27.37,190.9,113.0,16.23,,113.0,10.25,12.1,4.0,3.27,4.0,no,27764901.0
DE,125,408.0,no,no,0.0,126.7,108.0,21.54,206.0,,,247.8,114.0,11.15,13.3,7.0,3.59,1.0,no,32370082.0
AZ,63,415.0,no,no,0.0,,125.0,10.01,169.6,59.0,14.42,211.4,88.0,9.51,9.4,3.0,2.54,1.0,no,58075912.0
ME,36,510.0,yes,yes,,196.8,89.0,33.46,254.9,122.0,21.67,138.3,126.0,6.22,20.0,6.0,5.4,0.0,yes,9387192.0
NJ,64,510.0,no,no,0.0,162.6,83.0,27.64,152.3,109.0,12.95,57.5,122.0,2.59,14.2,3.0,3.83,1.0,no,51995348.0
NV,74,415.0,no,no,,282.5,114.0,48.03,219.9,48.0,18.69,170.0,115.0,7.65,9.4,4.0,,1.0,yes,32032179.0
MO,112,510.0,no,yes,36.0,113.7,117.0,,157.5,82.0,13.39,177.6,118.0,7.99,10.0,3.0,2.7,2.0,no,17711466.0
ID,97,408.0,no,no,0.0,,125.0,40.77,,111.0,,143.3,81.0,6.45,8.7,5.0,2.35,2.0,no,59251736.0
NE,46,408.0,no,no,0.0,210.2,92.0,35.73,227.3,,19.32,200.1,116.0,9.0,13.1,,3.54,1.0,no,9293085.0
TX,41,408.0,no,yes,22.0,213.8,102.0,36.35,141.8,86.0,12.05,142.2,123.0,6.4,7.2,3.0,1.94,0.0,no,2095206.0
MD,121,510.0,no,no,0.0,190.7,103.0,32.42,183.5,117.0,,220.8,103.0,9.94,9.8,4.0,2.65,3.0,no,82956644.0
MS,193,415.0,no,no,,170.9,124.0,29.05,132.3,95.0,11.25,112.9,,5.08,11.6,3.0,3.13,1.0,no,36049922.0
NV,130,510.0,no,no,0.0,,119.0,26.21,110.2,98.0,,227.4,117.0,10.23,9.2,5.0,2.48,2.0,no,54189444.0
AZ,85,408.0,no,no,0.0,201.4,52.0,34.24,229.4,104.0,19.5,252.5,106.0,11.36,12.0,3.0,3.24,1.0,no,3001104.0
MS,162,415.0,no,no,0.0,70.7,108.0,12.02,,87.0,13.39,154.8,82.0,6.97,9.1,3.0,,4.0,yes,65039646.0
MS,61,510.0,no,yes,27.0,187.5,124.0,31.88,146.6,103.0,12.46,225.7,,10.16,6.4,,,4.0,yes,55021778.0
TX,92,408.0,no,no,0.0,91.7,90.0,,193.7,123.0,,175.0,86.0,7.88,9.2,4.0,,2.0,no,32350720.0
NE,131,408.0,no,yes,36.0,214.2,115.0,36.41,161.7,,13.74,264.7,,11.91,9.5,4.0,2.57,3.0,no,51351419.0
NE,90,415.0,no,no,0.0,145.5,92.0,24.74,217.7,114.0,18.5,146.9,123.0,6.61,10.9,2.0,2.94,3.0,no,33264441.0
CA,75,408.0,no,no,0.0,,125.0,28.27,158.2,86.0,13.45,256.7,80.0,11.55,,5.0,1.65,1.0,no,29676269.0
NJ,78,415.0,no,no,0.0,231.0,115.0,39.27,,140.0,19.58,261.4,120.0,11.76,9.5,3.0,2.57,1.0,no,57141632.0
TX,82,408.0,no,no,0.0,200.3,96.0,34.05,201.2,102.0,17.1,206.1,60.0,9.27,7.1,1.0,1.92,4.0,no,24402422.0
AR,163,408.0,no,no,0.0,197.0,109.0,33.49,202.6,128.0,17.22,206.4,80.0,9.29,9.1,10.0,2.46,1.0,no,54329990.0
AL,91,510.0,yes,no,0.0,129.9,112.0,22.08,173.3,83.0,14.73,247.2,130.0,11.12,11.2,3.0,3.02,3.0,no,29377595.0
NY,75,415.0,no,yes,21.0,175.8,97.0,29.89,217.5,106.0,18.49,237.5,134.0,,5.3,4.0,1.43,5.0,no,57398968.0
FL,91,510.0,no,no,,203.1,106.0,34.53,210.1,113.0,17.86,195.6,129.0,8.8,12.0,3.0,3.24,3.0,no,22072367.0
AK,127,510.0,no,yes,36.0,183.2,117.0,31.14,126.8,,10.78,263.3,71.0,11.85,11.2,8.0,3.02,1.0,no,50314061.0
NV,113,415.0,no,yes,23.0,205.0,101.0,34.85,152.0,60.0,12.92,158.6,59.0,7.14,10.2,5.0,2.75,2.0,no,732768.0
DE,110,510.0,no,no,0.0,148.5,115.0,25.25,276.4,84.0,23.49,193.6,,8.71,,3.0,3.35,1.0,no,38461083.0
MD,120,415.0,no,yes,39.0,,68.0,34.05,220.4,97.0,18.73,253.8,116.0,11.42,10.5,4.0,,0.0,no,41143108.0
MI,157,415.0,no,yes,28.0,192.6,107.0,32.74,195.5,74.0,16.62,109.7,139.0,4.94,6.8,5.0,1.84,3.0,no,3997293.0
VT,103,510.0,no,no,0.0,246.5,47.0,41.91,195.5,84.0,16.62,200.5,96.0,9.02,11.7,4.0,3.16,1.0,no,15340532.0
VT,117,408.0,yes,no,0.0,167.1,86.0,,177.5,87.0,15.09,249.4,132.0,11.22,14.1,7.0,3.81,2.0,yes,213215.0
MI,140,415.0,no,no,0.0,231.9,101.0,39.42,160.1,94.0,13.61,110.4,98.0,4.97,,,3.86,3.0,no,56553365.0
WA,127,408.0,no,no,0.0,,91.0,24.94,203.5,78.0,17.3,203.4,,9.15,13.7,,3.7,1.0,no,40059230.0
UT,83,408.0,yes,no,0.0,271.5,87.0,46.16,216.3,126.0,,,105.0,5.45,11.7,4.0,3.16,1.0,no,51542728.0
LA,121,408.0,no,no,0.0,,121.0,30.86,218.4,98.0,18.56,161.6,103.0,7.27,8.5,5.0,,1.0,no,24633968.0
RI,145,408.0,no,yes,43.0,257.7,97.0,43.81,162.1,95.0,13.78,286.9,86.0,12.91,11.1,4.0,3.0,2.0,no,34337428.0
IA,113,408.0,no,no,0.0,193.8,99.0,32.95,221.4,125.0,18.82,172.3,67.0,7.75,10.6,6.0,2.86,1.0,no,46479812.0
NE,117,415.0,no,no,0.0,102.8,119.0,17.48,206.7,91.0,17.57,299.0,105.0,13.46,10.1,7.0,,1.0,no,27703503.0
OH,65,408.0,no,no,0.0,,116.0,31.94,157.6,117.0,,227.3,86.0,10.23,7.5,6.0,2.03,1.0,no,33991712.0
RI,56,415.0,no,no,0.0,226.0,112.0,38.42,248.5,,21.12,140.5,142.0,6.32,6.9,11.0,1.86,1.0,no,14558621.0
OK,96,415.0,no,no,0.0,260.4,115.0,44.27,146.0,46.0,,269.5,87.0,12.13,11.5,4.0,,5.0,no,52825411.0
LA,151,408.0,no,no,0.0,178.7,116.0,30.38,292.1,138.0,24.83,265.9,101.0,11.97,9.8,4.0,2.65,0.0,no,50698984.0
OH,83,415.0,no,no,0.0,,120.0,57.36,227.4,116.0,,,114.0,,15.8,7.0,4.27,0.0,yes,23530603.0
VA,139,510.0,no,yes,23.0,157.6,,26.79,247.0,96.0,21.0,259.2,112.0,11.66,13.7,,,0.0,no,31933641.0
MO,6,510.0,no,no,0.0,183.6,117.0,31.21,256.7,72.0,21.82,178.6,79.0,,10.2,2.0,2.75,1.0,no,65840514.0
FL,115,510.0,no,yes,,142.1,,24.16,183.4,129.0,15.59,164.8,114.0,7.42,9.6,4.0,2.59,1.0,no,27989706.0
SC,87,415.0,no,no,0.0,136.3,97.0,23.17,172.2,108.0,14.64,137.5,101.0,,7.1,5.0,1.92,0.0,no,23691561.0
VA,141,415.0,no,no,0.0,217.1,110.0,36.91,241.5,111.0,,253.5,103.0,11.41,12.0,,3.24,0.0,no,55433502.0
IA,141,510.0,no,yes,36.0,187.5,99.0,31.88,241.4,116.0,20.52,229.5,105.0,10.33,10.5,5.0,2.84,3.0,no,57437162.0
MI,62,415.0,no,no,0.0,98.9,103.0,16.81,135.4,122.0,11.51,236.6,82.0,10.65,12.2,1.0,3.29,1.0,no,22937668.0
OK,146,415.0,no,no,0.0,206.3,151.0,35.07,148.6,,12.63,167.2,91.0,7.52,6.1,3.0,1.65,1.0,no,23682206.0
DE,92,415.0,no,yes,33.0,243.1,,,213.8,92.0,18.17,228.7,104.0,10.29,,2.0,3.27,2.0,no,25557554.0
GA,185,510.0,no,yes,31.0,189.8,126.0,32.27,163.3,133.0,13.88,264.8,126.0,11.92,7.5,3.0,2.03,1.0,no,30399414.0
DC,148,415.0,no,no,0.0,202.0,102.0,34.34,243.2,,,261.3,,11.76,10.9,3.0,2.94,1.0,no,55253413.0
AZ,94,408.0,no,yes,,170.1,124.0,,193.3,,,105.9,73.0,4.77,12.8,4.0,3.46,1.0,no,56817836.0
AL,32,510.0,no,no,0.0,230.9,87.0,39.25,187.4,90.0,15.93,154.0,53.0,6.93,6.3,2.0,1.7,0.0,no,69780583.0
CO,68,408.0,no,no,0.0,237.1,105.0,40.31,223.5,,19.0,97.4,79.0,,13.2,2.0,3.56,1.0,no,32000101.0
NH,64,408.0,no,yes,27.0,182.1,91.0,30.96,169.7,98.0,14.42,,86.0,7.41,10.6,5.0,2.86,2.0,no,25451964.0
NM,25,415.0,no,no,0.0,119.3,87.0,20.28,211.5,101.0,17.98,,86.0,12.1,,4.0,2.84,3.0,no,302424502.0
OR,65,415.0,no,no,,116.8,87.0,19.86,178.9,93.0,15.21,182.4,150.0,8.21,14.1,,3.81,1.0,no,58479023.0
LA,179,408.0,no,no,0.0,219.2,92.0,37.26,149.4,125.0,12.7,,104.0,11.01,6.1,5.0,1.65,0.0,no,32010357.0
NE,94,415.0,no,no,0.0,252.6,104.0,42.94,169.0,125.0,,170.9,106.0,,11.1,7.0,3.0,2.0,no,43225630.0
MN,62,415.0,no,no,0.0,147.1,91.0,25.01,190.4,,16.18,195.2,115.0,8.78,12.2,3.0,3.29,0.0,no,22534309.0
MI,127,415.0,no,no,0.0,202.1,103.0,,229.4,86.0,19.5,195.2,113.0,8.78,11.5,,,2.0,no,25330796.0
AR,116,408.0,no,no,0.0,,93.0,29.5,194.1,76.0,16.5,208.0,112.0,9.36,16.2,10.0,4.37,3.0,no,59567479.0
KS,70,408.0,no,no,0.0,232.1,122.0,,292.3,112.0,24.85,201.2,112.0,9.05,0.0,0.0,,3.0,no,57537144.0
WV,94,510.0,yes,yes,23.0,,125.0,33.51,214.5,136.0,18.23,282.2,103.0,12.7,9.5,5.0,2.57,4.0,no,36308013.0
AK,126,415.0,no,no,0.0,58.2,94.0,9.89,138.7,118.0,11.79,136.8,91.0,6.16,11.9,1.0,3.21,5.0,yes,25614389.0
NY,67,408.0,no,yes,36.0,115.6,,,237.7,94.0,20.2,169.9,103.0,7.65,,12.0,2.67,2.0,no,57922502.0
NH,19,408.0,no,no,0.0,,98.0,,254.3,57.0,,214.0,127.0,9.63,14.6,7.0,3.94,2.0,no,54697446.0
VA,170,510.0,yes,no,0.0,259.9,68.0,44.18,245.0,122.0,,134.4,121.0,6.05,8.4,,,3.0,no,64229438.0
NM,73,415.0,no,no,0.0,214.3,145.0,36.43,268.5,135.0,22.82,241.2,92.0,10.85,10.8,13.0,2.92,1.0,no,56575921.0
NY,106,408.0,no,no,0.0,158.7,,26.98,64.3,139.0,5.47,198.5,103.0,8.93,10.2,4.0,2.75,1.0,no,25038308.0
AZ,93,415.0,no,no,,271.6,,46.17,229.4,108.0,19.5,77.3,121.0,3.48,,3.0,2.94,2.0,no,14971972.0
WY,164,510.0,no,no,0.0,,111.0,27.3,163.2,126.0,,,112.0,8.42,9.0,,2.43,1.0,no,32405870.0
WA,51,408.0,no,no,0.0,232.4,109.0,39.51,187.4,95.0,15.93,231.2,107.0,10.4,9.1,,2.46,1.0,no,32021834.0
CO,107,415.0,no,no,0.0,133.8,85.0,22.75,,94.0,15.34,112.2,115.0,,8.9,4.0,2.4,0.0,no,54965785.0
TX,130,415.0,no,no,0.0,176.9,109.0,,90.7,104.0,7.71,238.0,69.0,10.71,9.5,2.0,2.57,1.0,no,56823560.0
KY,80,408.0,no,no,0.0,,74.0,35.68,195.1,77.0,16.58,208.2,119.0,9.37,8.8,4.0,2.38,2.0,no,32249195.0
MT,94,415.0,no,no,0.0,137.5,118.0,23.38,,88.0,17.27,150.0,131.0,6.75,13.4,2.0,3.62,0.0,no,51280782.0
OK,118,408.0,no,yes,,289.5,,49.22,166.6,111.0,14.16,119.1,88.0,5.36,9.5,4.0,2.57,1.0,no,29003993.0
MD,117,415.0,no,yes,23.0,198.1,86.0,33.68,,86.0,15.05,180.5,92.0,8.12,6.8,,1.84,1.0,no,53505699.0
TN,78,415.0,no,no,0.0,149.7,119.0,25.45,182.2,115.0,,261.5,126.0,11.77,9.7,8.0,2.62,0.0,no,55381305.0
TX,208,510.0,no,no,0.0,326.5,67.0,55.51,176.3,113.0,14.99,181.7,102.0,8.18,10.7,6.0,2.89,2.0,yes,25074881.0
ME,131,510.0,yes,yes,26.0,292.9,101.0,49.79,199.7,,,255.3,127.0,11.49,13.8,7.0,3.73,4.0,yes,40670374.0
DC,63,408.0,no,no,0.0,83.0,64.0,14.11,177.0,106.0,15.05,245.7,89.0,11.06,13.0,3.0,3.51,0.0,no,38591798.0
MN,53,415.0,no,yes,24.0,145.7,146.0,24.77,220.5,136.0,18.74,249.9,96.0,11.25,13.1,5.0,3.54,3.0,no,23039415.0
DE,62,408.0,no,no,,182.3,101.0,30.99,328.2,93.0,,,,11.03,11.2,1.0,3.02,2.0,no,33145814.0
MD,97,415.0,no,no,,218.0,86.0,37.06,184.0,94.0,15.64,,110.0,10.82,6.4,8.0,1.73,3.0,no,13904420.0
MI,105,510.0,no,no,0.0,140.6,109.0,,178.6,,,217.0,83.0,9.76,6.8,3.0,1.84,2.0,no,33229303.0
WA,157,415.0,no,no,0.0,152.7,105.0,25.96,257.5,80.0,21.89,,93.0,8.91,9.4,4.0,2.54,1.0,no,23950900.0
MO,66,415.0,no,yes,36.0,106.7,76.0,,209.8,77.0,17.83,190.4,117.0,8.57,12.1,2.0,3.27,1.0,no,22487078.0
IN,122,415.0,no,no,0.0,243.8,98.0,,83.9,72.0,7.13,179.8,84.0,8.09,13.7,8.0,3.7,2.0,no,67416107.0
OR,38,415.0,no,no,,194.4,94.0,33.05,186.7,95.0,15.87,223.3,90.0,10.05,10.8,5.0,2.92,3.0,no,22464937.0
MD,106,510.0,no,no,0.0,213.9,95.0,36.36,151.9,70.0,,260.1,124.0,11.7,12.2,5.0,3.29,3.0,no,41854969.0
RI,99,510.0,no,no,0.0,217.2,112.0,36.92,246.7,89.0,20.97,226.1,,10.17,15.8,7.0,4.27,3.0,no,56669294.0
LA,99,415.0,no,no,0.0,,72.0,40.99,155.6,98.0,,188.2,109.0,8.47,11.6,10.0,3.13,,no,58234527.0
AZ,144,510.0,yes,no,0.0,203.5,100.0,34.6,247.6,103.0,,194.3,94.0,8.74,11.9,11.0,3.21,0.0,no,33870312.0
PA,82,415.0,no,yes,24.0,155.2,,26.38,244.5,106.0,20.78,122.4,68.0,5.51,10.7,3.0,2.89,1.0,no,22777874.0
AZ,86,408.0,no,yes,,167.6,139.0,28.49,113.0,118.0,9.61,246.9,121.0,11.11,12.2,6.0,3.29,1.0,no,23732654.0
FL,70,510.0,yes,no,,226.7,98.0,38.54,228.1,115.0,19.39,73.2,93.0,3.29,17.6,4.0,4.75,2.0,yes,58641838.0
LA,93,415.0,no,no,0.0,179.3,93.0,30.48,178.6,98.0,15.18,225.2,131.0,10.13,,,3.11,3.0,no,58236241.0
FL,93,415.0,no,no,0.0,151.4,,,186.4,76.0,15.84,,120.0,7.76,10.9,3.0,2.94,0.0,no,303668065.0
FL,120,415.0,no,no,0.0,180.0,80.0,30.6,224.2,82.0,19.06,265.4,91.0,11.94,4.7,7.0,1.27,3.0,no,55338594.0
MD,136,415.0,no,no,0.0,,,,,118.0,22.7,151.0,114.0,6.8,13.0,2.0,,1.0,yes,58230830.0
