movie_display_name,movie_production_year,movie_odid,movie_financial_summary_production_budget,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,production_date_year,movie_creative_type_display_name,movie_source_display_name,movie_production_method_display_name,movie_genre_display_name,movie_sequel,movie_running_time,Description
"The Last Days on Mars",2013,197330100,10600000,24084,237280,2013-01-01,"Science Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,98,NULL
Darkness,2002,23550100,10600000,22163442,12245764,2002-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Horror,0,88,NULL
"Les Intouchables",2011,164220100,10800000,13182281,471690764,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,110,NULL
Kinsey,2004,36860100,11000000,10214647,2786312,2004-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,118,NULL
"If I Stay",2014,146900100,11000000,50474843,28400000,2014-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,106,NULL
"Woman in Gold",2014,220190100,11000000,33307793,23450345,2014-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,107,NULL
"The Fighter",2010,108640100,11000000,93617009,35645379,2010-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,115,NULL
"Corky Romano",2001,22270100,11000000,23978402,1137701,2001-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,86,NULL
"The Secret Life of Bees",2008,14980100,11000000,37770162,2213861,2008-01-01,"Historical Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,110,NULL
Quartet,2011,144180100,11000000,18388357,37790578,2011-01-01,"Contemporary Fiction","Based on Play","Live Action",Comedy,0,99,NULL
"Le prénom",2012,184450100,11000000,61611,25245794,2012-01-01,"Contemporary Fiction","Original Screenplay","Live Action",,0,0,NULL
"Inside Llewyn Davis",2012,184960100,11000000,13248209,19695038,2012-01-01,"Historical Fiction","Based on Factual Book/Article","Live Action",Drama,0,104,NULL
Brooklyn,2014,220510100,11000000,38273392,21979924,2014-01-01,"Historical Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,113,NULL
"Heaven is for Real",2013,191180100,12000000,91386097,9533014,2013-01-01,Dramatization,"Based on Factual Book/Article","Live Action",Drama,0,100,NULL
"5 Days of War",2011,163750100,12000000,17479,70314,2011-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,113,NULL
Trash,2014,217960100,12000000,17484,6535702,2014-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Adventure,0,113,NULL
Arbitrage,2011,170980100,12000000,7919574,27911139,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,100,NULL
"Rachel Getting Married",2008,33280100,12000000,12796861,4678614,2008-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,113,NULL
Nebraska,2013,191160100,12000000,17654912,7106448,2013-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,114,NULL
"Young Adult",2011,143410100,12000000,16311571,6438785,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,94,NULL
Quarantine,2008,17940100,12000000,31691811,10232963,2008-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Horror,0,89,NULL
"Project Almanac",2013,191170100,12000000,22348241,9900000,2013-01-01,"Science Fiction","Original Screenplay","Live Action",Adventure,0,106,NULL
"Paper Towns",2015,212140100,12000000,32000304,53511996,2015-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,109,NULL
"For Greater Glory",2012,174220100,12000000,5669081,4357174,2012-01-01,Dramatization,"Based on Real Life Events","Live Action",Action,0,143,NULL
"Charlie Bartlett",2008,49470100,12000000,3950294,1345615,2008-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,97,NULL
"Nanjing! Nanjing!",2009,153060100,12000000,122558,20000000,2009-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,135,NULL
Gwoemul,2007,54910100,12000000,2201923,90416194,2007-01-01,"Science Fiction","Original Screenplay","Live Action",Action,0,119,NULL
Chronicle,2011,160260100,12000000,64575175,59106615,2011-01-01,"Science Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,106,NULL
"Top Five",2014,212890100,12000000,25317379,197469,2014-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,101,NULL
"Step Up",2006,7780100,12000000,65328121,45661036,2006-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,103,NULL
Philomena,2013,198260100,12000000,37709979,61253413,2013-01-01,"Contemporary Fiction","Based on Factual Book/Article","Live Action",Drama,0,97,NULL
"Project X",2011,152930100,12000000,54731865,48296323,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,87,NULL
"Think Like a Man",2012,161370100,12000000,91547205,21826559,2012-01-01,"Contemporary Fiction","Based on Factual Book/Article","Live Action","Romantic Comedy",0,122,NULL
"About Time",2013,179780100,12000000,15323921,73853565,2013-01-01,"Science Fiction","Original Screenplay","Live Action","Romantic Comedy",0,123,NULL
"Katy Perry: Part of Me",2012,174660100,12000000,25326071,7374368,2012-01-01,Factual,"Based on Real Life Events","Live Action",Concert/Performance,0,95,NULL
"La grande bellezza",2013,200070100,12000000,2883879,26665266,2013-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,142,NULL
"San qiang pai an jing qi",2009,139470100,12000000,190946,120000,2009-01-01,"Contemporary Fiction",Remake,"Live Action",Drama,0,95,NULL
"The Eye",2008,18120100,12000000,31418697,26159068,2008-01-01,Fantasy,Remake,"Live Action",Thriller/Suspense,0,97,NULL
"Darling Companion",2010,150480100,12000000,793352,406994,2010-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,103,NULL
Stoker,2011,141810100,12000000,1703125,10376183,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,100,NULL
"The Fault in Our Stars",2014,198430100,12000000,124872350,178700000,2014-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,125,NULL
"Act of Valor",2011,162830100,12000000,70012847,12484188,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Action,0,101,NULL
"Company Man",2001,77700100,12000000,146028,476245,2001-01-01,"Historical Fiction","Original Screenplay","Live Action",Comedy,0,86,NULL
"Ernest et Celestine",2012,180410100,12500000,292562,9083882,2012-01-01,"Kids Fiction","Based on Fiction Book/Short Story","Hand Animation",Adventure,0,0,NULL
"Casino Jack",2010,148100100,12500000,2039869,232317,2010-01-01,"Historical Fiction","Based on Real Life Events","Live Action",Thriller/Suspense,0,108,NULL
Conviction,2010,138880100,12500000,6783129,3335856,2010-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,96,NULL
"Antwone Fisher",2002,130430100,12500000,21078145,2289441,2002-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,117,NULL
Machete,2010,139790100,12500000,26593646,19777324,2010-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Action,0,105,NULL
"The Call",2013,185760100,12800000,51872378,17949098,2013-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,96,NULL
"Letters from Iwo Jima",2006,31930100,13000000,13756082,54111916,2006-01-01,"Historical Fiction","Based on Real Life Events","Live Action",Drama,0,101,NULL
Brothers,2015,236560100,13000000,656688,17200000,2015-01-01,"Contemporary Fiction",Remake,"Live Action",Action,0,155,NULL
"Justin Bieber: Never Say Never",2010,151100100,13000000,73013910,26020215,2010-01-01,Factual,"Based on Real Life Events","Live Action",Concert/Performance,0,105,NULL
"Earth to Echo",2013,190390100,13000000,38934842,3239703,2013-01-01,"Kids Fiction","Original Screenplay","Animation/Live Action",Adventure,0,89,NULL
"21 and Over",2013,175330100,13000000,25682380,16513386,2013-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,93,NULL
"Black Swan",2010,140330100,13000000,106954678,224312032,2010-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,108,NULL
""I Love You",0,2010,124320100,13000000,2037459,20976568,2010-01-01,"Contemporary Fiction","Based on Real Life Events","Live Action",0,0,NULL
"Attack the Block",2011,153510100,13000000,1024175,5435008,2011-01-01,Fantasy,"Original Screenplay","Live Action",Action,0,87,NULL
Admission,2012,181990100,13000000,18007317,726349,2012-01-01,"Contemporary Fiction","Original Screenplay","Live Action","Romantic Comedy",0,117,NULL
"St. Vincent",2014,144990100,13000000,44137712,10699522,2014-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,102,NULL
"Miracles from Heaven",2016,231670100,13000000,59792364,8460993,2016-01-01,Dramatization,"Based on Factual Book/Article","Live Action",Drama,0,109,NULL
Room,2015,218940100,13000000,14677674,21307731,2015-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,113,NULL
"The Vatican Tapes",2015,209300100,13000000,1784763,11201426,2015-01-01,Fantasy,"Original Screenplay","Live Action",Horror,0,91,NULL
Chloe,2010,135540100,13000000,3075255,8755876,2010-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,96,NULL
"About Last Night",2014,185680100,13000000,48637684,1808176,2014-01-01,"Contemporary Fiction","Based on Play","Live Action","Romantic Comedy",0,100,NULL
"The Perks of Being a Wallflower",2010,150390100,13000000,17742948,15326355,2010-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,103,NULL
"Ex Machina",2015,210050100,13000000,25440971,11624916,2015-01-01,"Science Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,110,NULL
"Resurrecting the Champ",2007,51520100,13000000,3172382,88173,2007-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,111,NULL
"No Good Deed",2013,182000100,13200000,52543632,1779578,2013-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,84,NULL
"Under the Skin",2013,151720100,13300000,2605039,4615682,2013-01-01,"Science Fiction","Based on Fiction Book/Short Story","Live Action",Thriller/Suspense,0,108,NULL
"The Caveman's Valentine",2001,64730100,13500000,687081,205425,2001-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,105,NULL
"Seven Psychopaths",2012,174080100,13500000,15024049,18011687,2012-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,109,NULL
"Brokeback Mountain",2005,5450100,13900000,83043761,93968412,2005-01-01,"Historical Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,134,NULL
"Le Scaphandre et le Papillon",2007,44590100,14000000,5990075,16764397,2007-01-01,Dramatization,"Based on Fiction Book/Short Story","Live Action",Drama,0,112,NULL
"The Iron Lady",2011,150540100,14000000,29959436,85632668,2011-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,105,NULL
"Fun Size ",2012,164810100,14000000,9409538,1757077,2012-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,86,NULL
"Hot Tub Time Machine 2",2013,201330100,14000000,12314651,137950,2013-01-01,"Science Fiction","Original Screenplay","Live Action",Comedy,1,93,NULL
"My Bloody Valentine",2009,10510100,14000000,51545952,51290050,2009-01-01,"Contemporary Fiction",Remake,"Live Action",Horror,0,101,NULL
"The Possession",2011,151390100,14000000,49130588,33794476,2011-01-01,Fantasy,"Original Screenplay","Live Action",Horror,0,93,NULL
"Tyler Perry's Good Deeds",2011,162190100,14000000,35025791,553386,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,111,NULL
"Slumdog Millionaire",2008,2110100,14000000,141319928,243199737,2008-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,116,NULL
"A Perfect Getaway",2009,29770100,14000000,15515460,7300000,2009-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,97,NULL
"Mr. Turner",2014,207150100,14000000,3958546,21228480,2014-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,149,NULL
Margaret,2009,125740100,14000000,47185,87787,2009-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,149,NULL
"Magic Mike XXL",2015,206440100,14500000,66013057,51800000,2015-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,1,115,NULL
"Elle s'appelait Sarah",2010,150920100,14500000,7691700,17788331,2010-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,106,NULL
"Country Strong",2010,146210100,15000000,20218921,383066,2010-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,120,NULL
"Midnight Meat Train",2008,83140100,15000000,73548,1516698,2008-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Thriller/Suspense,0,100,NULL
Drive,2011,143000100,15000000,35060689,42994136,2011-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Action,0,100,NULL
"The November Man",2014,204470100,15000000,25018119,9802216,2014-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Thriller/Suspense,0,108,NULL
"The Rocker",2008,43500100,15000000,6409528,2357810,2008-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,102,NULL
Centurion,2010,113710100,15000000,123570,7761478,2010-01-01,"Historical Fiction","Original Screenplay","Live Action",Action,0,97,NULL
"Scout's Guide to the Zombie Apocalypse",2015,208670100,15000000,3703046,11244197,2015-01-01,Fantasy,"Original Screenplay","Live Action",Comedy,0,93,NULL
"End of Watch",2012,173660100,15000000,41003371,16583235,2012-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,109,NULL
"Promised Land",2011,145500100,15000000,7597898,1702438,2011-01-01,"Historical Fiction","Original Screenplay","Live Action",Drama,0,106,NULL
Mama,2012,162750100,15000000,71628180,76467386,2012-01-01,Fantasy,"Based on Short Film","Live Action",Horror,0,109,NULL
"Not Another Teen Movie",2001,14900100,15000000,37882551,24518792,2001-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,82,NULL
"The Theory of Everything",2014,206120100,15000000,35893537,86254235,2014-01-01,Dramatization,"Based on Factual Book/Article","Live Action",Drama,0,123,NULL
"The Man with the Iron Fists",2011,143490100,15000000,15634090,6384898,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Action,0,95,NULL
"The Place Beyond the Pines",2012,181290100,15000000,21403519,25607930,2012-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,140,NULL
"Nie yin niang",2015,141280100,15000000,632542,6200000,2015-01-01,"Historical Fiction",Remake,"Live Action",Drama,0,107,NULL
"You Will Meet a Tall Dark Stranger",2010,139480100,15000000,3247816,31000000,2010-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,98,NULL
"The King’s Speech",2010,143880100,15000000,138797449,292023719,2010-01-01,Dramatization,"Original Screenplay","Live Action",Drama,0,118,NULL
"The Hurt Locker",2009,33690100,15000000,17017811,32876412,2009-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,130,NULL
"Jackass Presents: Bad Grandpa",2013,194760100,15000000,102003019,58900000,2013-01-01,Factual,"Based on Real Life Events","Live Action",Comedy,0,92,NULL
"When the Game Stands Tall",2014,191210100,15000000,30127963,10949,2014-01-01,"Contemporary Fiction","Based on Factual Book/Article","Live Action",Drama,0,114,NULL
"Killing Them Softly",2012,174960100,15000000,14945541,24292902,2012-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Thriller/Suspense,0,97,NULL
"Halloween 2",2009,18100100,15000000,33392973,5119877,2009-01-01,Fantasy,"Original Screenplay","Live Action",Horror,1,105,NULL
Krampus,2015,214450100,15000000,42725475,19039634,2015-01-01,Fantasy,"Original Screenplay","Live Action","Black Comedy",0,98,NULL
"Black Snake Moan",2007,38270100,15000000,9396870,1554283,2007-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,118,NULL
Snitch,2012,176710100,15000000,42930462,14977272,2012-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,95,NULL
"The Imitation Game",2014,207140100,15000000,91125143,136648543,2014-01-01,Dramatization,"Based on Factual Book/Article","Live Action",Drama,0,113,NULL
Peeples,2012,171140100,15000000,9177065,130101,2012-01-01,"Contemporary Fiction","Original Screenplay","Live Action","Romantic Comedy",0,95,NULL
"One Day",2011,140530100,15000000,13843771,45324921,2011-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,107,NULL
Wild,2014,207560100,15000000,37880356,14621185,2014-01-01,Dramatization,"Based on Factual Book/Article","Live Action",Drama,0,119,NULL
"Malibu's Most Wanted",2003,16560100,15000000,34308901,190303,2003-01-01,"Contemporary Fiction","Based on TV","Live Action",Comedy,0,86,NULL
"A Mighty Heart",2007,38530100,15000000,9176787,9976781,2007-01-01,Dramatization,"Based on Fiction Book/Short Story","Live Action",Drama,0,108,NULL
""Kiss Kiss",0,2005,48470100,15000000,4235837,12593627,2005-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",0,0,NULL
"Never Let Me Go",2010,138870100,15000000,2419730,8739066,2010-01-01,"Science Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,120,NULL
"In Bruges",2008,40880100,15000000,7800825,26732958,2008-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,107,NULL
"The Woman in Black",2011,143590100,15000000,54333290,74622608,2011-01-01,Fantasy,"Based on Fiction Book/Short Story","Live Action",Thriller/Suspense,0,95,NULL
Earth,2009,17740100,15000000,32011576,77000000,2009-01-01,Factual,"Based on TV","Live Action",Documentary,0,99,NULL
"The Great Debaters",2007,18640100,15000000,30226144,35149,2007-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,123,NULL
"The Son of No One",2011,143220100,15000000,30680,1117898,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,93,NULL
"Banlieue 13",2006,59860100,15000000,1200216,10399687,2006-01-01,"Science Fiction","Original Screenplay","Live Action",Action,0,84,NULL
"A Most Wanted Man",2014,202630100,15000000,17237855,18831035,2014-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Thriller/Suspense,0,121,NULL
Slither,2006,40870100,15250000,7802450,5127893,2006-01-01,"Science Fiction","Original Screenplay","Live Action",Horror,0,96,NULL
Trance,2012,161240100,16000000,2322593,20271459,2012-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,101,NULL
"People Like Us",2011,150320100,16000000,12431792,88012,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,115,NULL
"The Roommate",2010,111680100,16000000,37300107,15245600,2010-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,91,NULL
"Enter the Void",2010,139650100,16000000,337997,1129281,2010-01-01,Fantasy,"Based on Fiction Book/Short Story","Live Action",Drama,0,106,NULL
Vamps,2011,144890100,16000000,3361,91451,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action","Romantic Comedy",0,92,NULL
"The Artist",2011,163170100,16000000,44667095,83589617,2011-01-01,"Historical Fiction","Original Screenplay","Live Action",Drama,0,100,NULL
"Joe Dirt",2001,20180100,16000000,27087695,3900000,2001-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,91,NULL
"The Immigrant",2013,199050100,16000000,2013456,5571555,2013-01-01,"Historical Fiction","Original Screenplay","Live Action",Drama,0,120,NULL
"Left Behind",2014,205740100,16000000,14019924,6749285,2014-01-01,"Science Fiction","Based on Fiction Book/Short Story","Live Action",Thriller/Suspense,0,111,NULL
"The Homesman",2014,210010100,16000000,2429989,1012864,2014-01-01,"Historical Fiction","Based on Fiction Book/Short Story","Live Action",Western,0,120,NULL
"Remember Me",2010,111180100,16000000,19068240,37437880,2010-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,113,NULL
"Vicky Cristina Barcelona",2008,22700100,16000000,23216709,81288108,2008-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,97,NULL
"Bienvenue chez les Ch'tis",2008,58330100,16000000,1477650,245996847,2008-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,106,NULL
"Moonrise Kingdom",2011,150870100,16000000,45512466,23069629,2011-01-01,"Historical Fiction","Original Screenplay","Live Action",Drama,0,94,NULL
"The Young Messiah",2015,193820100,16800000,6469813,686154,2015-01-01,Dramatization,"Based on Comic/Graphic Novel","Live Action",Drama,0,111,NULL
"FUR: An Imaginary Portrait of Diane Arbus",2006,74420100,16800000,223202,2057887,2006-01-01,Dramatization,"Based on Fiction Book/Short Story","Live Action",Drama,0,115,NULL
L'illusionniste,2010,139510100,17000000,2231474,3400000,2010-01-01,"Historical Fiction","Original Screenplay","Hand Animation",Adventure,0,80,NULL
"The Best Man Holiday",2013,184400100,17000000,70525195,2310515,2013-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,1,122,NULL
""McFarland",0,2014,197730100,17000000,44480275,1227649,2014-01-01,Dramatization,"Based on Real Life Events","Live Action",0,0,NULL
"The Others",2001,4470100,17000000,96522687,111242369,2001-01-01,"Historical Fiction","Original Screenplay","Live Action",Horror,0,104,NULL
"Escobar: Paradise Lost",2014,212720100,17000000,195792,570320,2014-01-01,"Historical Fiction","Original Screenplay","Live Action",Drama,0,119,NULL
Beastly,2009,114810100,17000000,27865571,10162659,2009-01-01,Fantasy,"Original Screenplay","Live Action",Drama,0,86,NULL
"Friday the 13th",2009,7850100,17000000,65002019,27668218,2009-01-01,Fantasy,Spin-Off,"Live Action",Horror,1,97,NULL
"Smokin' Aces",2007,15920100,17000000,35662731,21600709,2007-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,107,NULL
"Saw 3D",2010,135950100,17000000,45710178,88025106,2010-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Horror,1,91,NULL
"Let’s Be Cops",2014,202180100,17000000,82390774,54500000,2014-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,104,NULL
"Evil Dead",2012,145010100,17000000,54239856,43538500,2012-01-01,Fantasy,Remake,"Live Action",Horror,0,91,NULL
"Pitch Perfect",2012,176830100,17000000,65001093,51043254,2012-01-01,"Contemporary Fiction","Based on Factual Book/Article","Live Action",Comedy,0,112,NULL
"The Apparition",2011,140180100,17000000,4936819,5700462,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Horror,0,82,NULL
"Step Up 2 the Streets",2008,9040100,17500000,58017783,90569127,2008-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,1,98,NULL
Superbad,2007,2970100,17500000,121463226,48491916,2007-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,112,NULL
"Black Nativity",2013,188570100,17500000,7018188,266947,2013-01-01,Fantasy,"Based on Play","Live Action",Musical,0,95,NULL
"Red Lights",2011,151660100,17700000,49521,14469363,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,118,NULL
"Bad Santa",2003,8650100,18000000,60060328,17086703,2003-01-01,"Contemporary Fiction","Original Screenplay","Live Action","Black Comedy",0,93,NULL
"Birdman or (The Unexpected Virtue of Ignorance)",2014,205950100,18000000,42340598,60900000,2014-01-01,Fantasy,"Original Screenplay","Live Action","Black Comedy",0,119,NULL
"Diary of a Wimpy Kid: Rodrick Rules",2010,149800100,18000000,52698535,20996659,2010-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Comedy,1,99,NULL
Neighbors,2013,195940100,18000000,150086800,120507734,2013-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,91,NULL
"The Railway Man",2013,199740100,18000000,4438438,19471772,2013-01-01,Dramatization,"Based on Factual Book/Article","Live Action",Drama,0,116,NULL
"Orange County",2002,13580100,18000000,41059716,2248991,2002-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,83,NULL
Getaway,2013,183700100,18000000,10501938,1312051,2013-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,89,NULL
"Midnight Special",2015,207590100,18000000,3608718,3041114,2015-01-01,"Science Fiction","Original Screenplay","Live Action",Drama,0,102,NULL
"Blue Jasmine",2013,187530100,18000000,33404871,69508090,2013-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,98,NULL
""I Love You",0,2009,30590100,18000000,14800725,1581813,2009-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",0,0,NULL
"And So It Goes",2014,205720100,18000000,15160801,2200000,2014-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,93,NULL
"Mao's Last Dancer",2009,110040100,18000000,4806750,12219859,2009-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,117,NULL
Renaissance,2006,83460100,18000000,70644,2330769,2006-01-01,"Science Fiction","Original Screenplay","Digital Animation",Action,0,105,NULL
"Soul Surfer",2010,142200100,18000000,43853424,3305228,2010-01-01,Dramatization,"Based on Factual Book/Article","Live Action",Drama,0,106,NULL
Borat,2006,2620100,18000000,128505958,132937284,2006-01-01,"Contemporary Fiction","Based on TV","Live Action",Comedy,0,82,NULL
"The Exorcism of Emily Rose",2005,6440100,18000000,75072454,69456624,2005-01-01,Dramatization,"Based on Real Life Events","Live Action",Horror,0,119,NULL
"Labor Day",2011,147140100,18000000,13371528,818282,2011-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,111,NULL
Carlos,2010,139660100,18000000,145526,11476,2010-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,123,NULL
"Metallica Through the Never",2013,186690100,18000000,3419967,5662939,2013-01-01,Factual,"Based on Musical Group","Live Action",Concert/Performance,0,93,NULL
"United 93",2006,18030100,18000000,31483450,46067901,2006-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,111,NULL
"127 Hours",2010,140470100,18000000,18335230,41881941,2010-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,93,NULL
Jobs,2013,186170100,18000000,16131410,10000000,2013-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,127,NULL
"Love the Coopers",2015,222720100,18000000,26302731,15864555,2015-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,107,NULL
Phantom,2012,185040100,18000000,1034589,164921,2012-01-01,"Historical Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,97,NULL
"My Big Fat Greek Wedding 2",2015,219050100,18000000,57578195,30803783,2015-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,1,94,NULL
"The Invention of Lying",2009,114230100,18500000,18451251,14228013,2009-01-01,Fantasy,"Original Screenplay","Live Action",Comedy,0,100,NULL
"The Amityville Horror",2005,7800100,18500000,64858000,43942304,2005-01-01,"Historical Fiction",Remake,"Live Action",Horror,0,89,NULL
"The Crazies",2010,107980100,19000000,39123589,17321945,2010-01-01,"Contemporary Fiction",Remake,"Live Action",Horror,0,101,NULL
"The Switch",2010,136390100,19000000,27758465,22100000,2010-01-01,"Contemporary Fiction","Original Screenplay","Live Action","Romantic Comedy",0,101,NULL
"Bad Teacher",2011,140260100,19000000,100292856,115156141,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,92,NULL
"Won't Back Down",2011,166340100,19000000,5310554,404359,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,121,NULL
""Gone",0,0,2007,24940100,19000000,20300218,14051944,2007-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story",0,Drama,NULL
"The Book Thief",2013,186070100,19000000,21488481,54598230,2013-01-01,"Historical Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,127,NULL
"Take Me Home Tonight",2010,139000100,19000000,6928068,648536,2010-01-01,"Historical Fiction","Original Screenplay","Live Action",Comedy,0,114,NULL
